pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Melatonin metabolism and effects,Wikipathways,0,,34 (34),1,1,1,HMDB10351,12 (15),0.219,1,0.551,0.786
NO-cGMP-PKG mediated Neuroprotection,Wikipathways,0,,47 (47),1,1,1,HMDB00517,12 (15),0.219,1,0.551,0.786
Vitamin B6-dependent and responsive disorders,Wikipathways,0,,4 (4),1,1,1,HMDB00162,12 (19),0.219,1,0.551,0.786
The alternative pathway of fetal androgen synthesis,Wikipathways,0,,8 (8),1,1,1,HMDB01830,12 (17),0.219,1,0.551,0.786
Steroid Biosynthesis,Wikipathways,0,,10 (10),1,1,1,HMDB01830,12 (12),0.219,1,0.551,0.786
Pancreatic secretion - Homo sapiens (human),KEGG,0,,102 (102),1,1,1,HMDB00895,12 (15),0.219,1,0.551,0.786
tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,HumanCyc,0,,7 (7),1,1,1,HMDB00929,12 (13),0.219,1,0.551,0.786
G alpha (z) signalling events,Reactome,0,,41 (41),1,1,1,HMDB10164,12 (13),0.219,1,0.551,0.786
Betazole Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,12 (13),0.219,1,0.551,0.786
Thromboxane A2 receptor signaling,PID,0,,56 (56),1,1,1,HMDB00517,12 (12),0.219,1,0.551,0.786
Visual signal transduction: Cones,PID,0,,23 (23),1,1,1,HMDB0007982#HMDB0007938,12 (14),0.219,1,0.551,0.786
Insulin resistance - Homo sapiens (human),KEGG,0,,108 (108),1,1,1,HMDB00201,12 (20),0.219,1,0.551,0.786
adenosine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,38 (38),1,1,1,HMDB00191,12 (12),0.219,1,0.551,0.786
Lansoprazole Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,12 (13),0.219,1,0.551,0.786
Nizatidine Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,12 (13),0.219,1,0.551,0.786
Cimetidine Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,12 (13),0.219,1,0.551,0.786
Famotidine Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,12 (13),0.219,1,0.551,0.786
Roxatidine acetate Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,12 (13),0.219,1,0.551,0.786
Metiamide Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,12 (13),0.219,1,0.551,0.786
Pirenzepine Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,12 (13),0.219,1,0.551,0.786
Pyrimidine metabolism,Wikipathways,1,DCTPP1,84 (84),0.425,1,1,HMDB00641,35 (40),0.515,1,0.551,0.786
Signaling events mediated by TCPTP,PID,1,HGF,38 (38),0.221,1,0,,1 (1),1,1,0.555,0.79
Apoptosis - Homo sapiens (human),KEGG,2,CTSV;TNFRSF10A,136 (136),0.224,1,0,,4 (4),1,1,0.559,0.795
Regulation of mRNA stability by proteins that bind AU-rich elements,Reactome,1,TNFSF13,39 (39),0.226,1,0,,3 (4),1,1,0.563,0.797
Signaling events regulated by Ret tyrosine kinase,PID,1,RET,39 (39),0.226,1,0,,2 (2),1,1,0.563,0.797
Microglia Pathogen Phagocytosis Pathway,Wikipathways,1,TREM1,40 (40),0.231,1,0,,2 (2),1,1,0.57,0.797
Antigen processing-Cross presentation,Reactome,1,CTSV,40 (40),0.231,1,0,,9 (14),1,1,0.57,0.797
ErbB2/ErbB3 signaling events,PID,1,ERBB3,40 (40),0.231,1,0,,4 (4),1,1,0.57,0.797
Biosynthesis of EPA-derived SPMs,Reactome,0,,6 (6),1,1,1,HMDB01999,13 (28),0.235,1,0.575,0.797
Fcgamma receptor (FCGR) dependent phagocytosis,Reactome,0,,155 (155),1,1,1,HMDB0007982#HMDB0007938,13 (16),0.235,1,0.575,0.797
Endothelin Pathways,Wikipathways,0,,33 (33),1,1,1,HMDB00517,13 (13),0.235,1,0.575,0.797
Vitamin D-sensitive calcium signaling in depression,Wikipathways,0,,35 (35),1,1,1,HMDB00895,13 (15),0.235,1,0.575,0.797
tyrosine degradation,HumanCyc,0,,5 (5),1,1,1,HMDB00158,13 (13),0.235,1,0.575,0.797
proline biosynthesis,HumanCyc,0,,4 (4),1,1,1,HMDB00162,13 (14),0.235,1,0.575,0.797
Biosynthesis of electrophilic ?-3 PUFA oxo-derivatives,Reactome,0,,2 (2),1,1,1,HMDB01999,13 (28),0.235,1,0.575,0.797
Ca2+ pathway,Reactome,0,,55 (55),1,1,1,HMDB10164,13 (16),0.235,1,0.575,0.797
Thyroid hormone synthesis,SMPDB,0,,9 (9),1,1,1,HMDB00158,13 (13),0.235,1,0.575,0.797
Ion transport by P-type ATPases,Reactome,0,,47 (47),1,1,1,HMDB10164,13 (17),0.235,1,0.575,0.797
Gastric acid secretion - Homo sapiens (human),KEGG,0,,76 (76),1,1,1,HMDB00895,13 (14),0.235,1,0.575,0.797
Ibuprofen Metabolism Pathway,SMPDB,0,,23 (23),1,1,1,HMDB10318#HMDB02596,13 (13),0.235,1,0.575,0.797
Pantoprazole Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,13 (14),0.235,1,0.575,0.797
Rabeprazole Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,13 (14),0.235,1,0.575,0.797
Omeprazole Action Pathway,SMPDB,0,,11 (11),1,1,1,HMDB00895,13 (14),0.235,1,0.575,0.797
Sphingolipid pathway,Wikipathways,0,,28 (28),1,1,1,HMDB00277,13 (14),0.235,1,0.575,0.797
CLEC7A (Dectin-1) signaling,Reactome,1,NFATC3,41 (41),0.237,1,0,,8 (12),1,1,0.578,0.799
Gamma carboxylation_ hypusine formation and arylsulfatase activation,Reactome,1,F7,41 (41),0.237,1,0,,24 (34),1,1,0.578,0.799
Programmed Cell Death,Reactome,2,TNFRSF10A;DSG3,142 (142),0.238,1,0,,11 (21),1,1,0.58,0.801
Estrogen-dependent gene expression,Reactome,2,TFF3;CXCL12,142 (143),0.238,1,0,,5 (7),1,1,0.58,0.801
Nucleobase biosynthesis,Reactome,0,,15 (15),1,1,2,HMDB00641;HMDB00191,46 (48),0.239,1,0.582,0.802
Intracellular signaling by second messengers,Reactome,3,ERBB3;HGF;CD28,259 (259),0.241,1,0,,22 (28),1,1,0.584,0.802
N-Glycan biosynthesis,EHMN,1,B4GALT1,42 (42),0.242,1,0,,23 (51),1,1,0.585,0.802
Porphyrin and chlorophyll metabolism - Homo sapiens (human),KEGG,1,GUSB,42 (42),0.242,1,0,,41 (143),1,1,0.585,0.802
chrebp regulation by carbohydrates and camp,BioCarta,1,CXCL12,42 (42),0.242,1,0,,8 (12),1,1,0.585,0.802
RND3 GTPase cycle,Reactome,1,CKAP4,42 (42),0.242,1,0,,1 (1),1,1,0.585,0.802
Type I diabetes mellitus - Homo sapiens (human),KEGG,1,CD28,43 (43),0.247,1,0,,3 (3),1,1,0.592,0.802
RND2 GTPase cycle,Reactome,1,CKAP4,43 (43),0.247,1,0,,1 (1),1,1,0.592,0.802
Methionine De Novo and Salvage Pathway,Wikipathways,0,,21 (21),1,1,2,HMDB00092;HMDB00043,47 (48),0.247,1,0.592,0.802
Succinic semialdehyde dehydrogenase deficiency,SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB00191,47 (49),0.247,1,0.592,0.802
2-Hydroxyglutric Aciduria (D And L Form),SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB00191,47 (49),0.247,1,0.592,0.802
Homocarnosinosis,SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB00191,47 (49),0.247,1,0.592,0.802
Hyperinsulinism-Hyperammonemia Syndrome,SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB00191,47 (49),0.247,1,0.592,0.802
4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB00191,47 (49),0.247,1,0.592,0.802
Glutamate Metabolism,SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB00191,47 (49),0.247,1,0.592,0.802
Biological oxidations,Reactome,1,AOC3,219 (219),0.766,1,6,HMDB00641;HMDB00517;HMDB01830;HMDB00855;HMDB0000714;HMDB00063,231 (320),0.327,1,0.597,0.802
RAS and bradykinin pathways in COVID-19,Wikipathways,0,,28 (28),1,1,1,HMDB00517,14 (16),0.25,1,0.597,0.802
Glycolysis and Gluconeogenesis,Wikipathways,0,,45 (45),1,1,1,HMDB00191,14 (18),0.25,1,0.597,0.802
Beta-catenin independent WNT signaling,Reactome,0,,94 (94),1,1,1,HMDB10164,14 (18),0.25,1,0.597,0.802
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,HumanCyc,0,,5 (5),1,1,1,HMDB00641,14 (14),0.25,1,0.597,0.802
isoleucine degradation,HumanCyc,0,,12 (12),1,1,1,HMDB00172,14 (16),0.25,1,0.597,0.802
Tyrosine catabolism,Reactome,0,,5 (5),1,1,1,HMDB00158,14 (16),0.25,1,0.597,0.802
Mineralocorticoid biosynthesis,Reactome,0,,4 (4),1,1,1,HMDB01830,14 (14),0.25,1,0.597,0.802
Folate Metabolism,Wikipathways,1,F7,69 (69),0.365,1,1,HMDB00517,56 (66),0.687,1,0.598,0.802
Galactose metabolism,EHMN,1,B4GALT1,44 (44),0.251,1,0,,43 (47),1,1,0.599,0.802
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,PID,1,HGF,44 (44),0.251,1,0,,2 (2),1,1,0.599,0.802
Gene expression (Transcription),Reactome,5,CRH;RETN;CTSV;TNFRSF10A;IGFBP3,1438 (1439),0.966,1,2,HMDB00641;HMDB00063,49 (74),0.262,1,0.601,0.805
Intra-Golgi traffic,Reactome,1,ALPP,45 (45),0.256,1,0,,4 (4),1,1,0.605,0.808
a6b1 and a6b4 Integrin signaling,PID,1,ERBB3,45 (45),0.256,1,0,,3 (3),1,1,0.605,0.808
Sensory Perception,Reactome,1,APOM,585 (585),0.98,1,2,HMDB00673;HMDB00895,49 (69),0.262,1,0.606,0.809
Signaling by MET,Reactome,1,HGF,46 (46),0.261,1,0,,7 (9),1,1,0.612,0.811
TNF receptor signaling pathway ,PID,1,SMPD1,46 (46),0.261,1,0,,1 (1),1,1,0.612,0.811
activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor,BioCarta,1,CXCL12,46 (46),0.261,1,0,,5 (6),1,1,0.612,0.811
Sulfur amino acid metabolism,Reactome,0,,27 (27),1,1,2,HMDB00092;HMDB00043,49 (67),0.262,1,0.613,0.811
Melanin biosynthesis,Reactome,0,,3 (3),1,1,1,HMDB00158,15 (23),0.266,1,0.618,0.811
UTP and CTP dephosphorylation I,HumanCyc,0,,3 (3),1,1,1,HMDB00641,15 (15),0.266,1,0.618,0.811
GABA synthesis_ release_ reuptake and degradation,Reactome,0,,19 (19),1,1,1,HMDB00043,15 (17),0.266,1,0.618,0.811
Omega-3 fatty acid metabolism,EHMN,0,,16 (16),1,1,1,HMDB01388,15 (16),0.266,1,0.618,0.811
Salivary secretion - Homo sapiens (human),KEGG,0,,93 (93),1,1,1,HMDB00895,15 (17),0.266,1,0.618,0.811
guanosine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,13 (13),1,1,1,HMDB00641,15 (15),0.266,1,0.618,0.811
Binding and Uptake of Ligands by Scavenger Receptors,Reactome,0,,42 (42),1,1,1,HMDB10164,15 (41),0.266,1,0.618,0.811
PI Metabolism,Reactome,0,,84 (84),1,1,1,HMDB0007982#HMDB0007938,15 (29),0.266,1,0.618,0.811
Proximal tubule bicarbonate reclamation - Homo sapiens (human),KEGG,0,,23 (23),1,1,1,HMDB00641,15 (17),0.266,1,0.618,0.811
Assembly of collagen fibrils and other multimeric structures,Reactome,1,CTSV,47 (47),0.266,1,0,,6 (7),1,1,0.618,0.811
Arf6 trafficking events,PID,1,ITGA11,47 (47),0.266,1,0,,6 (6),1,1,0.618,0.811
Diseases of signal transduction by growth factor receptors and second messengers,Reactome,3,ERBB3;HGF;CD28,274 (274),0.267,1,0,,18 (71),1,1,0.62,0.812
Differentiation Pathway,Wikipathways,1,HGF,48 (48),0.271,1,0,,8 (12),1,1,0.625,0.817
Ceramide signaling pathway,PID,1,SMPD1,48 (48),0.271,1,0,,3 (3),1,1,0.625,0.817
Cellular senescence - Homo sapiens (human),KEGG,2,IGFBP3;NFATC3,156 (156),0.272,1,0,,4 (5),1,1,0.627,0.818
Retrograde transport at the Trans-Golgi-Network,Reactome,1,IGF2R,49 (49),0.276,1,0,,6 (6),1,1,0.631,0.819
Calcineurin-regulated NFAT-dependent transcription in lymphocytes,PID,1,NFATC3,49 (49),0.276,1,0,,1 (1),1,1,0.631,0.819
Kennedy pathway from sphingolipids,Wikipathways,0,,14 (14),1,1,1,HMDB10164,16 (18),0.281,1,0.637,0.819
Methionine metabolism leading to sulfur amino acids and related disorders,Wikipathways,0,,3 (3),1,1,1,HMDB00043,16 (21),0.281,1,0.637,0.819
VEGFR2 mediated vascular permeability,Reactome,0,,28 (28),1,1,1,HMDB00517,16 (16),0.281,1,0.637,0.819
Ion channel transport,Reactome,0,,165 (165),1,1,1,HMDB10164,16 (22),0.281,1,0.637,0.819
Cell recruitment (pro-inflammatory response),Reactome,0,,20 (20),1,1,1,HMDB00855,16 (20),0.281,1,0.637,0.819
inosine-5_-phosphate biosynthesis,HumanCyc,0,,3 (3),1,1,1,HMDB00191,16 (16),0.281,1,0.637,0.819
Androgen biosynthesis,Reactome,0,,8 (8),1,1,1,HMDB01830,16 (16),0.281,1,0.637,0.819
(S)-reticuline biosynthesis,HumanCyc,0,,1 (1),1,1,1,HMDB00158,16 (16),0.281,1,0.637,0.819
Purinergic signaling in leishmaniasis infection,Reactome,0,,20 (20),1,1,1,HMDB00855,16 (20),0.281,1,0.637,0.819
Thyroxine biosynthesis,Reactome,0,,8 (8),1,1,1,HMDB00158,16 (17),0.281,1,0.637,0.819
N-Glycan biosynthesis - Homo sapiens (human),KEGG,1,B4GALT1,50 (50),0.281,1,0,,11 (38),1,1,0.637,0.819
TNFR2 non-canonical NF-kB pathway,Reactome,1,TNFSF13,50 (50),0.281,1,0,,2 (2),1,1,0.637,0.819
Malaria - Homo sapiens (human),KEGG,1,HGF,50 (50),0.281,1,0,,3 (5),1,1,0.637,0.819
Valine_ leucine and isoleucine degradation,EHMN,0,,49 (49),1,1,2,HMDB00172;HMDB00687,52 (62),0.285,1,0.643,0.823
Signaling events mediated by PTP1B,PID,1,LEPR,52 (52),0.29,1,0,,1 (1),1,1,0.649,0.823
Apoptotic execution phase,Reactome,1,DSG3,52 (52),0.29,1,0,,2 (5),1,1,0.649,0.823
Pyrimidine nucleotides nucleosides metabolism,INOH,0,,51 (51),1,1,2,HMDB00641;HMDB00191,53 (56),0.293,1,0.652,0.823
Chemokine signaling pathway,Wikipathways,2,CXCL12;CCL28,165 (165),0.294,1,0,,5 (5),1,1,0.654,0.823
Notch signaling pathway,PID,1,MFAP5,53 (53),0.295,1,0,,1 (1),1,1,0.655,0.823
Posttranslational regulation of adherens junction stability and dissassembly,PID,1,RET,53 (53),0.295,1,0,,3 (3),1,1,0.655,0.823
Retrograde endocannabinoid signaling - Homo sapiens (human),KEGG,0,,148 (148),1,1,1,HMDB0007982#HMDB0007938,17 (19),0.295,1,0.655,0.823
guanosine nucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,16 (16),1,1,1,HMDB00641,17 (17),0.295,1,0.655,0.823
5-aminoimidazole ribonucleotide biosynthesis,HumanCyc,0,,3 (3),1,1,1,HMDB00641,17 (17),0.295,1,0.655,0.823
Synthesis of PA,Reactome,0,,37 (37),1,1,1,HMDB0007982#HMDB0007938,17 (27),0.295,1,0.655,0.823
4-hydroxybenzoate biosynthesis,HumanCyc,0,,1 (1),1,1,1,HMDB00158,17 (17),0.295,1,0.655,0.823
Transport to the Golgi and subsequent modification,Reactome,2,B4GALT1;LHB,167 (167),0.299,1,0,,15 (37),1,1,0.66,0.823
Isovaleric Aciduria,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
3-Methylglutaconic Aciduria Type I,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
Valine_ Leucine and Isoleucine Degradation,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
3-Methylcrotonyl Coa Carboxylase Deficiency Type I,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
Propionic Acidemia,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
Maple Syrup Urine Disease,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
Isobutyryl-coa dehydrogenase deficiency,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
3-hydroxyisobutyric aciduria,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
3-hydroxyisobutyric acid dehydrogenase deficiency,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
Isovaleric acidemia,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
Methylmalonate Semialdehyde Dehydrogenase Deficiency,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
Methylmalonic Aciduria,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
3-Methylglutaconic Aciduria Type IV,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
3-Methylglutaconic Aciduria Type III,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
Beta-Ketothiolase Deficiency,SMPDB,0,,30 (30),1,1,2,HMDB00172;HMDB00687,54 (58),0.3,1,0.662,0.823
TCR signaling in na&#xef;ve CD8+ T cells,PID,1,CD28,55 (55),0.304,1,0,,4 (4),1,1,0.666,0.827
Regulation of lipolysis in adipocytes - Homo sapiens (human),KEGG,1,TSHB,55 (57),0.304,1,0,,12 (14),1,1,0.666,0.827
Golgi Associated Vesicle Biogenesis,Reactome,1,IGF2R,56 (56),0.308,1,0,,5 (5),1,1,0.671,0.831
Role of Calcineurin-dependent NFAT signaling in lymphocytes,PID,1,NFATC3,56 (56),0.308,1,0,,1 (2),1,1,0.671,0.831
FGF signaling pathway,PID,1,HGF,56 (56),0.308,1,0,,3 (4),1,1,0.671,0.831
Retinol metabolism - Homo sapiens (human),KEGG,0,,68 (68),1,1,1,HMDB03598,18 (25),0.31,1,0.673,0.831
Drug Induction of Bile Acid Pathway,Wikipathways,0,,17 (17),1,1,1,HMDB00138,18 (28),0.31,1,0.673,0.831
Visual phototransduction,Reactome,1,APOM,103 (103),0.493,1,1,HMDB00673,48 (68),0.63,1,0.674,0.832
Caspase Cascade in Apoptosis,PID,1,TNFRSF10A,57 (57),0.313,1,0,,1 (2),1,1,0.677,0.832
CD4 T cell receptor signaling-JNK cascade,INOH,1,CD28,57 (57),0.313,1,0,,5 (6),1,1,0.677,0.832
Dihydropyrimidinase Deficiency,SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB03911,56 (57),0.316,1,0.679,0.832
Synthesis of substrates in N-glycan biosythesis,Reactome,0,,63 (63),1,1,2,HMDB00641;HMDB0000619,56 (69),0.316,1,0.679,0.832
MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy),SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB03911,56 (57),0.316,1,0.679,0.832
Pyrimidine Metabolism,SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB03911,56 (57),0.316,1,0.679,0.832
UMP Synthase Deiciency (Orotic Aciduria),SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB03911,56 (57),0.316,1,0.679,0.832
Beta Ureidopropionase Deficiency,SMPDB,0,,23 (23),1,1,2,HMDB00641;HMDB03911,56 (57),0.316,1,0.679,0.832
Transcriptional Regulation by TP53,Reactome,2,TNFRSF10A;IGFBP3,361 (361),0.689,1,1,HMDB00641,30 (39),0.461,1,0.682,0.834
NCAM signaling for neurite out-growth,Reactome,1,GFRA2,59 (59),0.322,1,0,,5 (7),1,1,0.687,0.834
leucine degradation,HumanCyc,0,,12 (12),1,1,1,HMDB00687,19 (20),0.324,1,0.689,0.834
superpathway of melatonin degradation,HumanCyc,0,,13 (13),1,1,1,HMDB10351,19 (24),0.324,1,0.689,0.834
Thermogenesis - Homo sapiens (human),KEGG,0,,232 (232),1,1,1,HMDB00062,19 (23),0.324,1,0.689,0.834
Di-unsaturated fatty acid beta-oxidation,EHMN,0,,23 (23),1,1,1,HMDB00673,19 (19),0.324,1,0.689,0.834
Linoleic acid (LA) metabolism,Reactome,0,,8 (8),1,1,1,HMDB00673,19 (24),0.324,1,0.689,0.834
Parkinson disease - Homo sapiens (human),KEGG,0,,249 (249),1,1,1,HMDB00158,19 (21),0.324,1,0.689,0.834
Synthesis of PE,Reactome,0,,14 (14),1,1,1,HMDB10164,19 (21),0.324,1,0.689,0.834
Vitamin B6 metabolism - Homo sapiens (human),KEGG,0,,6 (6),1,1,1,HMDB00641,19 (29),0.324,1,0.689,0.834
Long-term depression - Homo sapiens (human),KEGG,1,CRH,60 (60),0.326,1,0,,8 (9),1,1,0.692,0.836
MHC class II antigen presentation,Reactome,1,CTSV,60 (60),0.326,1,0,,3 (6),1,1,0.692,0.836
Oxidative phosphorylation,Wikipathways,1,ATP6AP2,61 (61),0.331,1,0,,5 (5),1,1,0.697,0.842
Metabolism of polyamines,Reactome,0,,13 (13),1,1,1,HMDB00517,20 (20),0.338,1,0.704,0.848
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide_ LLO) and transfer to a nascent protein,Reactome,0,,77 (77),1,1,2,HMDB00641;HMDB0000619,59 (82),0.338,1,0.705,0.848
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection,Wikipathways,1,CD28,63 (63),0.34,1,0,,3 (3),1,1,0.706,0.848
Endochondral Ossification,Wikipathways,1,CTSV,63 (63),0.34,1,0,,2 (4),1,1,0.706,0.848
Modulators of TCR signaling and T cell activation,Wikipathways,1,CD28,63 (63),0.34,1,0,,1 (1),1,1,0.706,0.848
Endochondral Ossification with Skeletal Dysplasias,Wikipathways,1,CTSV,63 (63),0.34,1,0,,2 (4),1,1,0.706,0.848
Semaphorin interactions,Reactome,1,SEMA7A,64 (64),0.344,1,0,,6 (6),1,1,0.711,0.851
Transcriptional Regulation by MECP2,Reactome,1,CRH,64 (64),0.344,1,0,,3 (4),1,1,0.711,0.851
GnRH secretion - Homo sapiens (human),KEGG,1,LHB,64 (64),0.344,1,0,,8 (9),1,1,0.711,0.851
Vitamin A and carotenoid metabolism,Wikipathways,0,,43 (43),1,1,1,HMDB03598,21 (21),0.351,1,0.719,0.854
tryptophan degradation,HumanCyc,0,,9 (9),1,1,1,HMDB00929,21 (22),0.351,1,0.719,0.854
The canonical retinoid cycle in rods (twilight vision),Reactome,0,,21 (21),1,1,1,HMDB00673,21 (34),0.351,1,0.719,0.854
Signaling by WNT,Reactome,0,,281 (282),1,1,1,HMDB10164,21 (26),0.351,1,0.719,0.854
Aldosterone synthesis and secretion - Homo sapiens (human),KEGG,0,,98 (98),1,1,1,HMDB01830,21 (22),0.351,1,0.719,0.854
Amine ligand-binding receptors,Reactome,0,,43 (43),1,1,1,HMDB00895,21 (29),0.351,1,0.719,0.854
Mercaptopurine Metabolism Pathway,SMPDB,0,,15 (15),1,1,1,HMDB00641,21 (24),0.351,1,0.719,0.854
Integrin cell surface interactions,Reactome,1,ITGA11,66 (66),0.353,1,0,,1 (2),1,1,0.72,0.855
TCR signaling in na&#xef;ve CD4+ T cells,PID,1,CD28,67 (67),0.357,1,0,,4 (4),1,1,0.725,0.857
Metabolism of nucleotides,Reactome,1,DCTPP1,102 (102),0.49,1,2,HMDB00641;HMDB00191,125 (154),0.731,1,0.726,0.857
Chemokine signaling pathway - Homo sapiens (human),KEGG,2,CXCL12;CCL28,192 (192),0.359,1,0,,5 (5),1,1,0.727,0.857
glutathione redox reactions I,HumanCyc,0,,9 (9),1,1,2,HMDB00277;HMDB0007982#HMDB0007938,62 (100),0.361,1,0.728,0.857
PPAR signaling pathway,Wikipathways,1,ANGPTL4,68 (68),0.361,1,0,,1 (7),1,1,0.729,0.857
Interleukin-1 family signaling,Reactome,1,IL1RL2,68 (68),0.361,1,0,,2 (5),1,1,0.729,0.857
Non-genomic actions of 1_25 dihydroxyvitamin D3,Wikipathways,1,DEFB4A,68 (68),0.361,1,0,,3 (4),1,1,0.729,0.857
Downstream signaling in na&#xef;ve CD8+ T cells,PID,1,NFATC3,68 (68),0.361,1,0,,2 (2),1,1,0.729,0.857
AMP-activated protein kinase (AMPK) signaling,Wikipathways,1,LEPR,68 (68),0.361,1,0,,7 (7),1,1,0.729,0.857
Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),KEGG,2,CD200R1;NFATC3,193 (193),0.361,1,0,,5 (5),1,1,0.729,0.857
One-carbon metabolism,Wikipathways,0,,28 (28),1,1,1,HMDB00043,22 (25),0.364,1,0.732,0.858
TP53 Regulates Metabolic Genes,Reactome,0,,76 (76),1,1,1,HMDB00641,22 (25),0.364,1,0.732,0.858
Regulation of insulin secretion,Reactome,0,,67 (67),1,1,1,HMDB00895,22 (26),0.364,1,0.732,0.858
Adipocytokine signaling pathway - Homo sapiens (human),KEGG,1,LEPR,69 (69),0.365,1,0,,3 (7),1,1,0.733,0.858
Renal cell carcinoma - Homo sapiens (human),KEGG,1,HGF,69 (69),0.365,1,0,,3 (3),1,1,0.733,0.858
Cytokine Signaling in Immune system,Reactome,4,IL1RL2;HGF;OSMR;TNFSF13,471 (471),0.372,1,0,,9 (21),1,1,0.74,0.865
alpha-linolenic acid (ALA) metabolism,Reactome,0,,13 (13),1,1,1,HMDB01388,23 (32),0.377,1,0.745,0.867
Organic cation transport,Reactome,0,,8 (8),1,1,1,HMDB00562,23 (28),0.377,1,0.745,0.867
Vitamin A (retinol) metabolism,EHMN,0,,26 (26),1,1,1,HMDB03598,23 (28),0.377,1,0.745,0.867
trans-Golgi Network Vesicle Budding,Reactome,1,IGF2R,72 (72),0.378,1,0,,5 (6),1,1,0.746,0.867
Melanoma - Homo sapiens (human),KEGG,1,HGF,72 (72),0.378,1,0,,1 (1),1,1,0.746,0.867
Methionine and cysteine metabolism,EHMN,0,,78 (78),1,1,2,HMDB00641;HMDB00191,65 (80),0.383,1,0.75,0.872
Thyroid hormones production and their peripheral downstream signaling effects,Wikipathways,1,TSHB,74 (74),0.386,1,0,,17 (25),1,1,0.753,0.872
EPH-Ephrin signaling,Reactome,1,EPHA10,74 (74),0.386,1,0,,8 (10),1,1,0.753,0.872
PPAR signaling pathway - Homo sapiens (human),KEGG,1,ANGPTL4,74 (76),0.386,1,0,,5 (5),1,1,0.753,0.872
